Date,Open,High,Low,Close,Volume
3/2/2020,305,324.5,283.5,310,64081
3/3/2020,325.5,340.5,320,340.5,55496
3/4/2020,324,340.5,315,330,36152
3/5/2020,344,344,310,315,35992
3/6/2020,306.5,307,291,305,32539
3/9/2020,274,291,250,258,79402
3/10/2020,278,284.5,256,264,35700
3/11/2020,270,270,238.5,245,60445
3/12/2020,218,228,196,197,94031
3/13/2020,210,229,198.8,211,100412
3/16/2020,205,248,197.8,240.5,50659
3/17/2020,245,269,232.5,264,99480
3/18/2020,264,280,251,270,70136
3/19/2020,267,280,267,279.5,30732
3/20/2020,297.5,307,280,280.5,43426
3/23/2020,274,289,258,285,37098
3/24/2020,305,309,296.5,309,31939
3/25/2020,313,330,295,304,46724
3/26/2020,300,309,295.5,300,27213
3/27/2020,302,306.5,290,296,13466
3/30/2020,299,300,287,300,10316
3/31/2020,302.5,309,302,306.5,15698
